followers_count,following_count,tweet_count,listed_count,date
87862197,49,59151,112733,2022-12-06-19
87862243,49,59151,112734,2022-12-06-20
87862464,49,59151,3,2022-12-06-21
87862341,49,59151,9,2022-12-06-22
87860900,49,59152,112691,2022-12-06-23
87862257,49,59151,112730,2022-12-07-00
87861448,49,59152,112690,2022-12-07-01
87861244,49,59152,112691,2022-12-07-02
87862811,49,59151,112731,2022-12-07-03
87861428,49,59152,112690,2022-12-07-04
87861640,49,59152,112752,2022-12-07-05
87861656,49,59152,112751,2022-12-07-06
87861789,49,59152,112752,2022-12-07-07
87861707,49,59152,112751,2022-12-07-08
87862665,49,59151,112791,2022-12-07-09
87862818,49,59151,0,2022-12-07-10
87862879,49,59151,2,2022-12-07-11
87863011,49,59151,112793,2022-12-07-12
87863021,49,59151,112795,2022-12-07-13
87863171,49,59151,112795,2022-12-07-14
87863261,49,59151,112798,2022-12-07-15
87863527,49,59151,112799,2022-12-07-16
87862995,49,59151,112796,2022-12-07-17
87863131,49,59151,112797,2022-12-07-18
87862198,49,59151,112756,2022-12-07-19
87862614,49,59151,112757,2022-12-07-20
87863770,49,59150,112798,2022-12-07-21
87863448,49,59150,112801,2022-12-07-22
87862468,49,59151,112755,2022-12-07-23
87863323,49,59150,112797,2022-12-08-00
87863538,49,59150,112797,2022-12-08-01
87862965,49,59150,112799,2022-12-08-02
87863099,49,59150,112795,2022-12-08-03
87861947,49,59151,112758,2022-12-08-04
87862950,49,59150,112793,2022-12-08-05
87862813,49,59150,112795,2022-12-08-06
87862852,49,59150,112794,2022-12-08-07
87862789,49,59150,112794,2022-12-08-08
87862816,49,59150,112793,2022-12-08-09
87862803,49,59150,112794,2022-12-08-10
87861635,49,59151,112758,2022-12-08-11
87861242,49,59151,112755,2022-12-08-12
87861438,49,59150,112792,2022-12-08-13
87861522,49,59150,112795,2022-12-08-14
87860708,49,59151,112758,2022-12-08-15
87860139,49,59151,112759,2022-12-08-16
87861167,49,59150,112793,2022-12-08-17
87861580,49,59150,112793,2022-12-08-18
87860705,49,59150,112755,2022-12-08-19
87862119,49,59149,112795,2022-12-08-20
87862028,49,59149,112798,2022-12-08-21
87862288,49,59149,112801,2022-12-08-22
87862289,49,59149,112802,2022-12-08-23
87861458,49,59150,112771,2022-12-09-00
87860711,49,59150,112764,2022-12-09-01
87860233,49,59150,112765,2022-12-09-02
87860689,49,59150,112766,2022-12-09-03
87861797,49,59149,112802,2022-12-09-04
87860977,49,59150,112766,2022-12-09-05
87861895,49,59149,112800,2022-12-09-06
87861415,49,59150,112761,2022-12-09-07
87862237,49,59149,112804,2022-12-09-08
87861600,49,59150,112765,2022-12-09-09
87861751,49,59150,112767,2022-12-09-10
87862729,49,59149,112805,2022-12-09-11
87863033,49,59149,112806,2022-12-09-12
87862538,49,59150,112766,2022-12-09-13
87864012,49,59149,112806,2022-12-09-14
87864507,49,59149,112809,2022-12-09-15
87865055,49,59149,112807,2022-12-09-16
87864016,49,59150,112768,2022-12-09-17
87865667,49,59149,0,2022-12-09-18
87864556,49,59150,112772,2022-12-09-19
87866678,49,59149,112810,2022-12-09-20
87867241,49,59149,112810,2022-12-09-21
87867614,49,59149,112810,2022-12-09-22
87867660,49,59149,112811,2022-12-09-23
87868268,49,59149,112810,2022-12-10-00
87866890,49,59149,112808,2022-12-10-01
87867250,49,59149,112808,2022-12-10-02
87866975,49,59149,112808,2022-12-10-03
87866372,49,59150,112770,2022-12-10-04
87867718,49,59149,3,2022-12-10-05
87866859,49,59150,112752,2022-12-10-06
87868156,49,59149,112791,2022-12-10-07
87867092,49,59150,112751,2022-12-10-08
87869195,49,59149,112792,2022-12-10-09
87869971,49,59149,112792,2022-12-10-10
87870382,49,59149,112794,2022-12-10-11
87871219,49,59149,112796,2022-12-10-12
87869746,49,59150,112749,2022-12-10-13
87872094,49,59149,112785,2022-12-10-14
87874948,49,59149,112785,2022-12-10-15
87874474,49,59150,112743,2022-12-10-16
87874734,49,59150,112743,2022-12-10-17
87875597,49,59150,112748,2022-12-10-18
87877727,49,59149,112789,2022-12-10-19
87877340,49,59150,112760,2022-12-10-20
87879616,49,59149,112796,2022-12-10-21
87878071,49,59150,112747,2022-12-10-22
87878528,49,59149,112784,2022-12-10-23
87877681,49,59150,112743,2022-12-11-00
87879484,49,59149,112784,2022-12-11-01
87878483,49,59150,112746,2022-12-11-02
87879820,49,59149,112785,2022-12-11-03
87880247,49,59149,112788,2022-12-11-04
87880414,49,59149,112785,2022-12-11-05
87880800,49,59149,112790,2022-12-11-06
87880921,49,59149,112787,2022-12-11-07
87881170,49,59149,112785,2022-12-11-08
87879715,49,59150,112746,2022-12-11-09
87881179,49,59149,112785,2022-12-11-10
87880498,49,59149,112785,2022-12-11-11
87880607,49,59149,112790,2022-12-11-12
87880929,49,59149,112790,2022-12-11-13
87881302,49,59149,112790,2022-12-11-14
87881280,49,59149,112791,2022-12-11-15
87879954,49,59150,112748,2022-12-11-16
87878620,49,59150,112749,2022-12-11-17
87878931,49,59150,112748,2022-12-11-18
87880349,49,59149,112792,2022-12-11-19
87880652,49,59149,112788,2022-12-11-20
87879247,49,59149,112787,2022-12-11-21
87878446,49,59150,112745,2022-12-11-22
87879365,49,59149,112788,2022-12-11-23
87878195,49,59149,112787,2022-12-12-00
87878590,49,59149,112787,2022-12-12-01
87878451,49,59149,112781,2022-12-12-02
87878634,49,59149,112783,2022-12-12-03
87878193,49,59149,112787,2022-12-12-04
87878392,49,59149,112789,2022-12-12-05
87878309,49,59149,112786,2022-12-12-06
87877018,49,59150,112743,2022-12-12-07
87878218,49,59149,112785,2022-12-12-08
87878315,49,59149,112785,2022-12-12-09
87878235,49,59149,112784,2022-12-12-10
87878093,49,59149,112784,2022-12-12-11
87876551,49,59150,2,2022-12-12-12
87878390,49,59149,112786,2022-12-12-13
87878962,49,59149,112785,2022-12-12-14
87877816,49,59150,112747,2022-12-12-15
87877380,49,59150,112750,2022-12-12-16
87879073,49,59149,1,2022-12-12-17
87879636,49,59149,4,2022-12-12-18
87877272,49,59150,112745,2022-12-12-19
87877697,49,59150,112747,2022-12-12-20
87879261,49,59148,112782,2022-12-12-21
87877759,49,59149,112741,2022-12-12-22
87879470,49,59148,112783,2022-12-12-23
87879944,49,59148,112787,2022-12-13-00
87878666,49,59148,112788,2022-12-13-01
87876837,49,59149,112749,2022-12-13-02
87878912,49,59148,112788,2022-12-13-03
87877694,49,59148,112791,2022-12-13-04
87877920,49,59148,112784,2022-12-13-05
87877899,49,59148,112785,2022-12-13-06
87878004,49,59148,112781,2022-12-13-07
87877733,49,59148,112783,2022-12-13-08
87877580,49,59148,112779,2022-12-13-09
87877697,49,59148,112778,2022-12-13-10
87876114,49,59149,112737,2022-12-13-11
87877596,49,59148,112773,2022-12-13-12
87877476,49,59148,112774,2022-12-13-13
87877637,49,59148,112774,2022-12-13-14
87877382,49,59148,112776,2022-12-13-15
87877566,49,59148,112776,2022-12-13-16
87877466,49,59148,112779,2022-12-13-17
87877696,49,59148,112779,2022-12-13-18
87876260,49,59149,112741,2022-12-13-19
87875496,49,59148,112780,2022-12-13-20
87875337,49,59148,112781,2022-12-13-21
87875516,49,59148,112776,2022-12-13-22
87875431,49,59148,112776,2022-12-13-23
87874223,49,59149,112738,2022-12-14-00
87875535,49,59148,112778,2022-12-14-01
87875284,49,59148,112770,2022-12-14-02
87875396,49,59148,112774,2022-12-14-03
87875136,49,59148,112770,2022-12-14-04
87875248,49,59148,112770,2022-12-14-05
87875028,49,59148,112768,2022-12-14-06
87875110,49,59148,112768,2022-12-14-07
87873773,49,59149,112729,2022-12-14-08
87873168,49,59149,0,2022-12-14-09
87874440,49,59148,112767,2022-12-14-10
87873117,49,59149,112727,2022-12-14-11
87874406,49,59148,112766,2022-12-14-12
87874294,49,59148,112771,2022-12-14-13
87874365,49,59148,112773,2022-12-14-14
87874314,49,59148,112768,2022-12-14-15
87874377,49,59148,112770,2022-12-14-16
87872805,49,59149,112728,2022-12-14-17
87874616,49,59146,0,2022-12-14-18
87872831,49,59147,112729,2022-12-14-19
87874115,49,59146,112766,2022-12-14-20
87873803,49,59146,112762,2022-12-14-21
87874046,49,59146,112768,2022-12-14-22
87873832,49,59146,112755,2022-12-14-23
87873815,49,59146,112760,2022-12-15-00
87874140,49,59146,112760,2022-12-15-01
87873791,49,59146,112757,2022-12-15-02
87873965,49,59146,112758,2022-12-15-03
87873713,49,59146,112757,2022-12-15-04
87873867,49,59146,112757,2022-12-15-05
87873759,49,59146,112760,2022-12-15-06
87873924,49,59146,112762,2022-12-15-07
87873734,49,59146,112760,2022-12-15-08
87873823,49,59146,112760,2022-12-15-09
87873776,49,59146,112756,2022-12-15-10
87873889,49,59146,112756,2022-12-15-11
87873548,49,59146,112761,2022-12-15-12
87873782,49,59146,112758,2022-12-15-13
87873682,49,59146,112757,2022-12-15-14
87873659,49,59146,112759,2022-12-15-15
87874096,49,59146,112767,2022-12-15-16
87874390,49,59146,112763,2022-12-15-17
87875144,49,59146,112762,2022-12-15-18
87874625,49,59147,112722,2022-12-15-19
87874531,49,59147,112725,2022-12-15-20
87875053,49,59147,112729,2022-12-15-21
87874514,49,59147,112721,2022-12-15-22
87875915,49,59146,112766,2022-12-15-23
87876378,49,59146,112769,2022-12-16-00
87875634,49,59146,112759,2022-12-16-01
87874450,49,59147,112719,2022-12-16-02
87874832,49,59146,112751,2022-12-16-03
87875086,49,59146,112750,2022-12-16-04
87874566,49,59146,112755,2022-12-16-05
87874753,49,59146,112744,2022-12-16-06
87874496,49,59146,112741,2022-12-16-07
87874661,49,59146,112742,2022-12-16-08
87874543,49,59146,112743,2022-12-16-09
87874720,49,59146,112742,2022-12-16-10
87874568,49,59146,112741,2022-12-16-11
87874848,49,59146,112743,2022-12-16-12
87874271,49,59146,112738,2022-12-16-13
87874147,49,59146,112742,2022-12-16-14
87873085,49,59147,112692,2022-12-16-15
87873339,49,59147,112693,2022-12-16-16
87874478,49,59146,112732,2022-12-16-17
87874070,49,59146,112737,2022-12-16-18
87872912,49,59147,112688,2022-12-16-19
87874071,49,59146,112734,2022-12-16-20
87872885,49,59147,112693,2022-12-16-21
87874026,49,59146,112737,2022-12-16-22
87873761,49,59146,112737,2022-12-16-23
87873960,49,59146,112736,2022-12-17-00
87873419,49,59146,112736,2022-12-17-01
87873585,49,59146,112739,2022-12-17-02
87872247,49,59147,112694,2022-12-17-03
87873407,49,59146,112739,2022-12-17-04
87873092,49,59146,112741,2022-12-17-05
87873177,49,59146,112734,2022-12-17-06
87872025,49,59147,112695,2022-12-17-07
87873164,49,59146,112735,2022-12-17-08
87871753,49,59147,112692,2022-12-17-09
87872904,49,59146,112732,2022-12-17-10
87872706,49,59146,112730,2022-12-17-11
87872798,49,59146,112732,2022-12-17-12
87871527,49,59147,112687,2022-12-17-13
87872972,49,59146,112729,2022-12-17-14
87872767,49,59146,112728,2022-12-17-15
87872678,49,59146,112731,2022-12-17-16
87872903,49,59146,112734,2022-12-17-17
87871524,49,59147,112691,2022-12-17-18
87872885,49,59146,112733,2022-12-17-19
87871234,49,59147,112694,2022-12-17-20
87872626,49,59146,112735,2022-12-17-21
87872528,49,59146,112735,2022-12-17-22
87872635,49,59146,112734,2022-12-17-23
87872504,49,59146,112736,2022-12-18-00
87871351,49,59147,112696,2022-12-18-01
